Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Cor (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
logotipo-estetica-corporal-facial,Logotipo para medicina estética,"<p>A Med Logos é um e-commerce de logotipos pré desenvolvidos, para quem busca uma estética incrível para seu negócio médico, com a praticidade de escolher um logotipo já desenvolvido por nosso time de mágicos do design!</p>
<p><strong>Exclusividade Garantida</strong>: Ao comprar um logotipo conosco, ele é imediatamente retirado de nossa loja. Isso significa que você adquire os direitos exclusivos do design, personalizado com suas informações e fonte de preferência.<br><br><meta charset=""utf-8""><strong>Prazos</strong>: Entregamos os arquivos do seu logotipo exclusivo via e-mail e whatsapp em até 5 dias úteis.<br><br><strong>Alterações</strong>: Não fazemos ajustes, correções ou alterações nos logos pré-desenvolvidos.</p>
<p><strong>Qualidade</strong>: Entregamos nossos logotipos em formato PNG de alta resolução com fundo transparente, perfeitos para todas as suas necessidades de papelaria. Entre 3000 e 4000 pixels com 300 DPI.</p>
<p><strong>Direitos Autorais Protegidos</strong>: Até a conclusão da compra, todos os direitos são mantidos pela Med Logos. Após a aquisição, o design se torna exclusivamente seu.</p>",med logos,Uncategorized,"","all, Cirurgia Plástica, Especialidades Médicas, Estética Avançada, Harmonização Facial, Identidade Médica, logo-pre",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,539.90,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/13.webp?v=1750242671,1,Logotipo para medicina estética,false,,"Logotipo dinâmico para sua clínica de procedimentos estéticos corporais e faciais, enfatizando a vitalidade humana",,,,,,,,,,,,,,,kg,,,active
logotipo-estetica-corporal-facial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/14.webp?v=1750242672,2,Logotipo para medicina estética,,,,,,,,,,,,,,,,,,,,,
logotipo-para-ginecologia-e-obstetricia-12,Logotipo para ginecologia e obstetrícia,"<p>A Med Logos é um e-commerce de logotipos pré desenvolvidos, para quem busca uma estética incrível para seu negócio médico, com a praticidade de escolher um logotipo já desenvolvido por nosso time de mágicos do design!</p>
<p><strong>Exclusividade Garantida</strong>: Ao comprar um logotipo conosco, ele é imediatamente retirado de nossa loja. Isso significa que você adquire os direitos exclusivos do design, personalizado com suas informações e fonte de preferência.<br><br><meta charset=""utf-8""><strong>Prazos</strong>: Entregamos os arquivos do seu logotipo exclusivo via e-mail e whatsapp em até 5 dias úteis.<br><br><strong>Alterações</strong>: Não fazemos ajustes, correções ou alterações nos logos pré-desenvolvidos.</p>
<p><strong>Qualidade</strong>: Entregamos nossos logotipos em formato PNG de alta resolução com fundo transparente, perfeitos para todas as suas necessidades de papelaria. Entre 3000 e 4000 pixels com 300 DPI.</p>
<p><strong>Direitos Autorais Protegidos</strong>: Até a conclusão da compra, todos os direitos são mantidos pela Med Logos. Após a aquisição, o design se torna exclusivamente seu.</p>",med logos,Uncategorized,"","all, Especialidades Médicas, Ginecologia, Identidade Médica, logo-pre",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,539.90,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/Ginecologiam.webp?v=1747187363,1,Logotipo para ginecologia e obstetrícia,false,Logotipo e identidade visual para ginecologia e obstetrícia,"Ilustre a energia e o crescimento com um logotipo dinâmico para sua clínica de pediatria, enfatizando a vitalidade e a alegria da infância.",,,,,,,,,,,,,,,kg,,,active
logotipo-para-ginecologia-e-obstetricia-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/Ginecologian.webp?v=1747187363,2,Logotipo para ginecologia e obstetrícia,,,,,,,,,,,,,,,,,,,,,
logotipo-de-estetica-corporal-facial,Logotipo para medicina estética,"<p>A Med Logos é um e-commerce de logotipos pré desenvolvidos, para quem busca uma estética incrível para seu negócio médico, com a praticidade de escolher um logotipo já desenvolvido por nosso time de mágicos do design!</p>
<p><strong>Exclusividade Garantida</strong>: Ao comprar um logotipo conosco, ele é imediatamente retirado de nossa loja. Isso significa que você adquire os direitos exclusivos do design, personalizado com suas informações e fonte de preferência.<br><br><meta charset=""utf-8""><strong>Prazos</strong>: Entregamos os arquivos do seu logotipo exclusivo via e-mail e whatsapp em até 5 dias úteis.<br><br><strong>Alterações</strong>: Não fazemos ajustes, correções ou alterações nos logos pré-desenvolvidos.</p>
<p><strong>Qualidade</strong>: Entregamos nossos logotipos em formato PNG de alta resolução com fundo transparente, perfeitos para todas as suas necessidades de papelaria. Entre 3000 e 4000 pixels com 300 DPI.</p>
<p><strong>Direitos Autorais Protegidos</strong>: Até a conclusão da compra, todos os direitos são mantidos pela Med Logos. Após a aquisição, o design se torna exclusivamente seu.</p>",med logos,Uncategorized,"","all, Cirurgia Plástica, Especialidades Médicas, Estética Avançada, Harmonização Facial, Identidade Médica, logo-pre",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,539.90,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/15_223a3078-60c6-480d-9655-d6ba5b62cb28.webp?v=1750242627,1,Logotipo para medicina estética,false,Logotipo para medicina estética ,"Logotipo dinâmico para sua clínica de procedimentos estéticos corporais e faciais, enfatizando a vitalidade humana",,,,,,,,,,,,,,,kg,,,active
logotipo-de-estetica-corporal-facial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/16.webp?v=1750242627,2,Logotipo para medicina estética,,,,,,,,,,,,,,,,,,,,,
ima-de-geladeira-medicina,Ímã de geladeira para clínicas médicas,"<h4 data-end=""387"" data-start=""303""><strong data-end=""385"" data-start=""307"">Na Med Logos®, tudo começa com design, e termina como percepção de valor.</strong></h4>
<p data-end=""599"" data-start=""388"">Nossos impressos foram <strong>criados para impressionar</strong>: pensados para médicos que sabem que cada material é mais do que papel.<br><br data-end=""511"" data-start=""508"">Ao investir no nosso trabalho, <strong>você está presenteando a sua própria imagem profissional</strong>.</p>
<p data-end=""599"" data-start=""388""> </p>
<h4 data-end=""667"" data-start=""606""><strong data-end=""665"" data-start=""610"">Design chama atenção. Qualidade constrói reputação.</strong></h4>
<p data-start=""545"" data-end=""841""><meta charset=""utf-8"">Feito com corte especial e área máxima de até 9x5cm, os ímãs de geladeira para clinicas e consultórios médicos acompanham seus pacientes no local mais visitado da casa.<br><br>Acabamento com manta magnética total no verso e embalados em sacos plásticos individuais. </p>
<p data-end=""1216"" data-start=""1121""> </p>
<h4 data-end=""1270"" data-start=""1223""><strong data-end=""1268"" data-start=""1227"">Métodos de personalização disponíveis</strong></h4>
<ul>
<li data-end=""1641"" data-start=""1271"">Escolha nosso desenho pré-desenvolvido para este produto, criado para transmitir sofisticação, elegância e cuidado;<br><br>
</li>
<li data-end=""1641"" data-start=""1271"">Envie um logotipo já existente, preferencialmente em formato vetorial (Corel Draw ou Illustrator), ou PNG de alta resolução com fundo transparente;<br><br>
</li>
<li data-end=""1641"" data-start=""1271"">Anexe até 3 arquivos da sua identidade visual para garantir um layout totalmente alinhado à sua marca.</li>
</ul>
<p> </p>
<h4 data-end=""1681"" data-start=""1648""><strong data-end=""1679"" data-start=""1652"">Aprovação da arte final</strong></h4>
<p data-end=""1884"" data-start=""1682"">Após a confirmação do pedido, nossa equipe entrará em contato pelo WhatsApp em até <strong data-end=""1781"" data-start=""1765"">2 dias úteis</strong>, com o layout personalizado.<br><br data-end=""1813"" data-start=""1810"">Você poderá solicitar ajustes e correções antes do envio para produção.</p>
<p data-end=""1884"" data-start=""1682""> </p>
<h4 data-end=""1915"" data-start=""1891""><strong data-end=""1913"" data-start=""1895"">Prazos e envio</strong></h4>
<p data-end=""2015"" data-start=""1916"">Produção em até <strong data-end=""1949"" data-start=""1932"">12 dias úteis</strong>.<br data-end=""1953"" data-start=""1950"">Envio realizado pelos <strong data-end=""1987"" data-start=""1975"">Correios</strong>, com rastreamento nacional.</p>
<p data-end=""2082"" data-start=""2017"">Não é possível fracionar a tiragem com dados ou artes diferentes.</p>",Gráfica Harmonize,Office Supplies > General Office Supplies > Paper Products > Stationery,"","essenciais, essenciais-estetica, esteta, papelaria-hof, papelariadermato, product",true,QUANTIDADE,1000 peças,,,,,,,,,650.0,,0,deny,manual,818.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/ima-de-geladeira-medico.webp?v=1749750681,1,Ímãs de geladeira para clínicas médicas e estética avançada. Personalização e design profissional.,false,,Marketing para clínicas de médicas e estética avançada . Brindes médicos com gráfica especializada. Ímãs elegantes e com acabamento refinado.,,,,,,,,,,,,,,,kg,,,active
ima-de-geladeira-medicina,,,,,,,,,2000 peças,,,,,,,,"",650.0,,0,deny,manual,1519.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0686/8379/2622/files/fichas-estetica-harmonizacao-corporal-facial.webp?v=1762443709,2,"Fichas de estética e harmonização corporal e facial. Anamnese, contratos e termos de estética avançada.",,,,,,,,,,,,,,,,,,kg,,,
ima-de-geladeira-medicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/design-estetica_7ae94a2b-00e7-420b-8f72-1c908f6f4bd5.webp?v=1761928370,3,"",,,,,,,,,,,,,,,,,,,,,
cartao-de-fidelidade-estetica,Cartão de fidelidade para clínicas de estética,"<div><strong>1. Qualidade incomparável</strong></div>
<div>
<span></span><br>
</div>
<div>
<div>Cartão de fidelidade para clínicas de estética e beleza, impresso em papel Couché Brilho® envernizado com 250g/m². Formato: 8,8x4,8cm<br><br>Verso sem enobrecimento.</div>
<div><br></div>
<div><span>Cartão encorpado, com cuidadoso acabamento, alta nitidez e qualidade diferenciada. </span></div>
<span><br></span>
</div>
<div>
<meta charset=""utf-8"">
<p data-end=""495"" data-start=""457""><strong data-end=""495"" data-start=""461"">2.<span> </span></strong><strong data-end=""495"" data-start=""461"">Métodos de personalização disponíveis</strong></p>
<ul data-end=""937"" data-start=""553"">
<li class="""" data-end=""666"" data-start=""553"">
<p class="""" data-end=""666"" data-start=""555""><strong data-end=""591"" data-start=""555"">Adquira um logotipo exclusivo<span> </span></strong><strong>em nossa loja</strong><span> </span>— utilizamos sua nova identidade visual e paleta de cores;<br><br></p>
</li>
<li class="""" data-end=""824"" data-start=""667"">
<p class="""" data-end=""824"" data-start=""669""><strong data-end=""706"" data-start=""669"">Envie um logotipo já existente</strong>, preferencialmente em formato vetorial (Corel Draw ou Illustrator) ou PNG de alta resolução com fundo transparente;<br><br></p>
</li>
<li class="""" data-end=""937"" data-start=""825"">
<p class="""" data-end=""937"" data-start=""827""><strong data-end=""879"" data-start=""827"">Anexe até 3 arquivos da sua identidade visual</strong>, para garantir um layout totalmente alinhado à sua marca;<br><br></p>
</li>
<li>
<strong data-end=""879"" data-start=""827"">Escolha nosso desenho pré-desenvolvido para esse produto</strong>, criado para transmitir sofisticação, elegância e cuidado.</li>
</ul>
<p data-start=""1136"" data-end=""1153""><strong data-start=""1140"" data-end=""1153"">3. Prazos</strong></p>
<p data-start=""1155"" data-end=""1200"" class="""">Produção em até 12 dias úteis + Correios.<br><br><strong>4. Nota</strong><br><br>Não é possível fracionar a quantidade com artes / dados diferentes.</p>
</div>",Gráfica Harmonize,Office Supplies > General Office Supplies > Paper Products > Stationery,"","essenciais-estetica, esteta, papelaria-hof, papelariadermato, product",true,ESCOLHA A QUANTIDADE DE CARTÕES,500 Cartões,,,,,,,,,1300.0,,-1,deny,manual,112.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0686/8379/2622/files/fidelidade-clinica-estetica.webp?v=1749947956,1,Cartão de fidelidade para clínicas de estética e beleza,false,Cartão de fidelidade para clínicas de estética e beleza,Cartão de visita premium para fidelização em estética e harmonização ideal para profissionais exigentes que buscam precisão e personalização no atendimento.,,,,,,,,,,,,,,,kg,,,active
